iter	Passed	Remaining
0	165	164885
1	166	83131
2	168	55928
3	169	42261
4	171	34145
5	173	28730
6	174	24809
7	176	21892
8	178	19613
9	179	17772
10	180	16260
11	182	15012
12	183	13954
13	185	13050
14	186	12261
15	188	11574
16	189	10952
17	190	10409
18	192	9925
19	193	9494
20	195	9101
21	196	8743
22	198	8421
23	199	8127
24	201	7858
25	203	7611
26	204	7371
27	206	7159
28	207	6963
29	209	6777
30	211	6599
31	212	6420
32	213	6263
33	215	6114
34	216	5966
35	217	5819
36	218	5693
37	220	5574
38	221	5457
39	222	5346
40	223	5234
41	225	5137
42	226	5041
43	228	4957
44	229	4869
45	230	4779
46	231	4700
47	233	4626
48	234	4555
49	236	4485
50	237	4418
51	238	4351
52	240	4291
53	241	4232
54	242	4170
55	243	4111
56	245	4055
57	246	4000
58	247	3946
59	248	3896
60	250	3850
61	251	3805
62	252	3760
63	254	3718
64	255	3675
65	256	3636
66	258	3595
67	258	3545
68	259	3502
69	260	3463
70	262	3429
71	263	3394
72	264	3360
73	265	3328
74	267	3295
75	268	3264
76	269	3232
77	270	3198
78	271	3169
79	273	3140
80	274	3111
81	275	3082
82	276	3056
83	277	3031
84	278	3000
85	280	2976
86	280	2947
87	281	2919
88	282	2894
89	283	2870
90	284	2845
91	285	2821
92	287	2800
93	288	2779
94	289	2760
95	291	2741
96	292	2719
97	293	2697
98	294	2680
99	295	2663
100	297	2647
101	298	2623
102	298	2602
103	299	2583
104	301	2566
105	301	2545
106	303	2529
107	304	2513
108	305	2498
109	306	2483
110	308	2468
111	309	2455
112	310	2440
113	312	2426
114	313	2411
115	314	2393
116	315	2381
117	316	2369
118	317	2353
119	319	2343
120	321	2334
121	322	2323
122	323	2306
123	324	2295
124	326	2282
125	327	2270
126	328	2257
127	328	2241
128	330	2229
129	331	2219
130	332	2208
131	334	2197
132	335	2186
133	336	2176
134	338	2165
135	339	2156
136	340	2147
137	341	2135
138	343	2126
139	344	2115
140	345	2106
141	347	2097
142	348	2087
143	349	2079
144	351	2070
145	352	2059
146	353	2048
147	354	2039
148	355	2031
149	356	2022
150	358	2014
151	359	2006
152	360	1997
153	362	1988
154	363	1980
155	364	1972
156	365	1963
157	366	1954
158	367	1946
159	369	1938
160	370	1930
161	371	1923
162	373	1916
163	374	1908
164	375	1902
165	377	1895
166	378	1888
167	379	1881
168	381	1874
169	382	1867
170	383	1861
171	385	1854
172	386	1848
173	388	1842
174	389	1834
175	390	1826
176	391	1819
177	392	1811
178	393	1804
179	394	1797
180	394	1787
181	396	1780
182	397	1772
183	398	1765
184	399	1758
185	400	1751
186	401	1744
187	402	1737
188	403	1730
189	404	1723
190	405	1715
191	406	1708
192	407	1701
193	408	1695
194	408	1688
195	409	1681
196	410	1673
197	411	1666
198	412	1659
199	413	1652
200	414	1645
201	414	1638
202	415	1632
203	416	1626
204	417	1619
205	418	1612
206	419	1606
207	420	1599
208	420	1592
209	421	1586
210	422	1580
211	423	1573
212	424	1567
213	424	1560
214	425	1554
215	426	1548
216	427	1542
217	428	1536
218	429	1530
219	430	1525
220	430	1519
221	431	1513
222	432	1507
223	433	1502
224	434	1496
225	435	1491
226	436	1485
227	437	1479
228	437	1474
229	438	1468
230	439	1462
231	440	1457
232	441	1452
233	441	1446
234	442	1441
235	443	1436
236	445	1433
237	446	1428
238	447	1423
239	448	1418
240	448	1413
241	449	1408
242	450	1403
243	451	1398
244	452	1393
245	452	1388
246	453	1383
247	454	1378
248	455	1373
249	456	1368
250	457	1364
251	457	1359
252	458	1354
253	459	1350
254	460	1345
255	461	1340
256	462	1336
257	463	1331
258	464	1327
259	465	1323
260	466	1319
261	466	1315
262	467	1311
263	468	1307
264	469	1303
265	471	1299
266	472	1295
267	473	1292
268	474	1289
269	475	1286
270	476	1282
271	477	1278
272	478	1274
273	479	1271
274	480	1268
275	481	1264
276	482	1260
277	484	1257
278	485	1253
279	486	1250
280	487	1246
281	488	1243
282	489	1240
283	490	1237
284	492	1234
285	493	1231
286	494	1228
287	495	1224
288	496	1221
289	497	1217
290	498	1214
291	499	1211
292	500	1207
293	501	1204
294	502	1201
295	503	1197
296	504	1194
297	505	1191
298	506	1188
299	507	1184
300	508	1181
301	509	1178
302	510	1174
303	511	1171
304	512	1168
305	513	1164
306	514	1161
307	515	1158
308	516	1154
309	517	1152
310	518	1149
311	519	1146
312	520	1143
313	521	1140
314	522	1136
315	523	1133
316	524	1130
317	525	1127
318	526	1124
319	527	1121
320	528	1118
321	529	1115
322	530	1112
323	531	1109
324	532	1106
325	533	1103
326	534	1101
327	536	1098
328	537	1095
329	538	1092
330	539	1089
331	540	1087
332	541	1084
333	542	1081
334	543	1078
335	544	1075
336	545	1072
337	546	1069
338	547	1067
339	548	1064
340	549	1061
341	550	1059
342	551	1056
343	552	1053
344	553	1050
345	554	1048
346	555	1045
347	556	1043
348	557	1040
349	558	1038
350	560	1035
351	561	1033
352	562	1030
353	563	1028
354	564	1025
355	565	1022
356	566	1020
357	567	1017
358	568	1015
359	569	1012
360	570	1009
361	571	1007
362	572	1004
363	573	1001
364	574	999
365	575	996
366	576	994
367	577	991
368	578	988
369	579	987
370	580	984
371	581	981
372	582	979
373	583	976
374	584	973
375	585	971
376	586	968
377	587	966
378	587	963
379	588	960
380	589	958
381	590	955
382	591	953
383	592	950
384	593	948
385	594	945
386	595	943
387	596	940
388	597	938
389	598	935
390	599	932
391	599	930
392	600	927
393	601	925
394	602	922
395	603	920
396	604	918
397	605	915
398	606	913
399	607	911
400	608	908
401	609	906
402	610	904
403	611	901
404	612	899
405	613	897
406	614	895
407	615	892
408	616	890
409	617	888
410	618	885
411	619	884
412	621	882
413	622	880
414	623	878
415	624	877
416	625	875
417	627	873
418	628	871
419	629	869
420	631	867
421	632	866
422	633	864
423	634	862
424	635	860
425	637	858
426	638	856
427	639	855
428	640	853
429	642	851
430	643	849
431	644	847
432	645	845
433	647	843
434	648	842
435	649	840
436	650	838
437	652	836
438	653	835
439	655	833
440	657	832
441	658	831
442	659	829
443	660	827
444	662	826
445	663	824
446	664	822
447	665	820
448	667	818
449	668	816
450	669	815
451	670	813
452	672	811
453	673	809
454	674	807
455	675	806
456	676	804
457	678	802
458	679	800
459	680	798
460	681	797
461	682	795
462	684	793
463	685	791
464	686	790
465	688	788
466	689	786
467	690	785
468	691	783
469	693	781
470	694	779
471	695	778
472	696	776
473	697	774
474	699	772
475	700	771
476	702	769
477	703	768
478	704	766
479	705	764
480	707	762
481	708	761
482	709	759
483	710	757
484	711	755
485	713	754
486	714	752
487	715	750
488	717	749
489	718	747
490	719	746
491	721	744
492	722	743
493	723	741
494	725	739
495	726	738
496	727	736
497	729	734
498	730	733
499	732	732
500	733	730
501	734	728
502	736	727
503	737	726
504	739	724
505	740	723
506	742	721
507	743	720
508	744	718
509	746	716
510	747	715
511	748	713
512	750	712
513	751	710
514	752	709
515	754	707
516	755	705
517	756	704
518	758	703
519	760	701
520	761	700
521	762	698
522	763	696
523	765	695
524	766	693
525	767	691
526	768	690
527	769	688
528	771	686
529	772	684
530	773	683
531	774	681
532	775	679
533	777	678
534	778	676
535	779	674
536	780	673
537	781	671
538	782	669
539	784	667
540	785	666
541	786	664
542	787	662
543	788	661
544	790	659
545	791	657
546	792	656
547	793	654
548	794	652
549	795	650
550	796	649
551	797	647
552	799	645
553	800	644
554	801	642
555	803	641
556	805	640
557	806	639
558	808	637
559	809	636
560	810	634
561	812	632
562	813	631
563	814	629
564	815	627
565	816	626
566	817	624
567	818	622
568	820	621
569	821	619
570	822	617
571	823	615
572	824	614
573	825	612
574	826	610
575	827	609
576	828	607
577	830	606
578	831	604
579	832	602
580	833	601
581	835	599
582	836	598
583	837	596
584	839	595
585	841	594
586	842	592
587	843	591
588	844	589
589	845	587
590	846	586
591	847	584
592	848	582
593	849	580
594	850	579
595	851	577
596	853	575
597	853	574
598	855	572
599	856	570
600	857	569
601	858	567
602	859	565
603	860	564
604	861	562
605	862	560
606	863	558
607	864	557
608	865	555
609	866	553
610	867	552
611	868	550
612	869	548
613	870	547
614	871	545
615	872	543
616	873	541
617	873	540
618	874	538
619	875	536
620	876	535
621	877	533
622	878	531
623	879	529
624	880	528
625	881	526
626	881	524
627	882	522
628	883	521
629	885	520
630	886	518
631	888	517
632	888	515
633	889	513
634	890	512
635	891	510
636	892	508
637	893	507
638	894	505
639	895	503
640	896	502
641	897	500
642	898	498
643	899	497
644	900	495
645	901	493
646	902	492
647	903	490
648	904	489
649	905	487
650	906	485
651	906	484
652	907	482
653	908	480
654	909	479
655	910	477
656	911	475
657	912	474
658	913	472
659	914	471
660	915	469
661	916	467
662	917	466
663	918	464
664	919	463
665	920	461
666	921	459
667	922	458
668	923	456
669	924	455
670	925	453
671	925	451
672	926	450
673	927	448
674	928	447
675	929	445
676	930	444
677	931	442
678	932	440
679	933	439
680	935	438
681	936	436
682	937	435
683	938	433
684	939	432
685	940	430
686	941	429
687	942	427
688	943	425
689	944	424
690	945	422
691	946	421
692	947	419
693	948	417
694	948	416
